tpep_pickup_datetime,PU_count,PU_month,PU_day_of_month,PU_day_of_week,PU_hour,trip_distance,total_amount,lag_1h,lag_2h,lag_1d,lag_2d,ewma_3h,ewma_6h,ewma_12h,ewma_24h
2022-03-22 08:00:00,4606,3,22,1,8,2.3700998,16.950254,3323.0,1452.0,4401.0,1414.0,3360.877712471175,2478.545198725527,2300.462659314627,2613.6188347788357
2022-03-22 09:00:00,4772,3,22,1,9,2.2532794,16.93411,4606.0,3323.0,4322.0,2376.0,4066.4388562355875,3133.817999089662,2680.699173266223,2786.2893279965288
2022-03-22 10:00:00,4827,3,22,1,10,2.3094716,17.33392,4772.0,4606.0,4285.0,3212.0,4446.7194281177935,3617.5842850640443,3010.899300456035,2949.5461817568066
2022-03-22 11:00:00,4944,3,22,1,11,2.2428782,17.072073,4827.0,4772.0,4438.0,3748.0,4695.359714058897,3996.5602036171745,3308.299408078183,3109.102487216262
2022-03-22 12:00:00,5287,3,22,1,12,2.2904747,17.298649,4944.0,4827.0,4668.0,4265.0,4991.179857029449,4365.257288297982,3612.7148837584627,3283.3342882389616
2022-03-22 13:00:00,5266,3,22,1,13,2.361728,17.26089,5287.0,4944.0,4759.0,4835.0,5128.589928514724,4622.612348784272,3867.0664401033146,3441.9475451798444
2022-03-22 14:00:00,5608,3,22,1,14,2.3722754,17.506996,5266.0,5287.0,5128.0,5173.0,5368.294964257362,4904.151677703051,4134.902372395112,3615.231741565457
2022-03-22 15:00:00,5731,3,22,1,15,2.5732229,17.943884,5608.0,5266.0,5112.0,5168.0,5549.647482128681,5140.39405550218,4380.455853565095,3784.493202240221
2022-03-22 16:00:00,5848,3,22,1,16,2.40302,18.4519,5731.0,5608.0,5115.0,5157.0,5698.8237410643405,5342.567182501557,4606.231876093542,3949.573746061003
2022-03-22 17:00:00,6667,3,22,1,17,2.2969851,17.8658,5848.0,5731.0,5722.0,5057.0,6182.911870532171,5720.976558929684,4923.273125925305,4166.967846376123
2022-03-22 18:00:00,7274,3,22,1,18,2.1838727,17.216496,6667.0,5848.0,6050.0,5021.0,6728.455935266085,6164.697542092632,5284.923414244488,4415.530418666033
2022-03-22 19:00:00,6297,3,22,1,19,2.3288312,17.03656,7274.0,6667.0,5062.0,4252.0,6512.727967633043,6202.498244351879,5440.627504360721,4566.0479851727505
2022-03-22 20:00:00,5513,3,22,1,20,2.501003,16.891653,6297.0,7274.0,4218.0,3753.0,6012.863983816522,6005.498745965629,5451.761734459073,4641.804146358931
2022-03-22 21:00:00,5298,3,22,1,21,2.6621706,17.288221,5513.0,6297.0,3897.0,3379.0,5655.431991908261,5803.356247118306,5428.106083003831,4694.299814650216
2022-03-22 22:00:00,4340,3,22,1,22,2.7577903,17.588694,5298.0,5513.0,2995.0,2493.0,4997.71599595413,5385.254462227361,5260.705147157088,4665.955829478198
2022-03-22 23:00:00,2912,3,22,1,23,2.9151993,17.69499,4340.0,5298.0,1748.0,1437.0,3954.857997977065,4678.610330162401,4899.365893748305,4525.639363119943
2022-03-23 00:00:00,1489,3,23,2,0,3.0951376,18.088911,2912.0,4340.0,899.0,897.0,2721.928998988533,3767.293092973143,4374.694217787027,4282.708214070347
2022-03-23 01:00:00,707,3,23,2,1,3.180509,17.740086,1489.0,2912.0,444.0,522.0,1714.4644994942664,2892.923637837959,3810.433568896715,3996.6515569447192
2022-03-23 02:00:00,386,3,23,2,2,3.3350778,18.115467,707.0,1489.0,228.0,294.0,1050.2322497471332,2176.659741312828,3283.597635220297,3707.7994323891417
2022-03-23 03:00:00,229,3,23,2,3,4.195764,21.168865,386.0,707.0,148.0,184.0,639.6161248735666,1620.1855295091627,2813.659537494097,3429.4954777980106
2022-03-23 04:00:00,212,3,23,2,4,6.428349,30.239622,229.0,386.0,158.0,265.0,425.8080624367833,1217.846806792259,2413.4042240334666,3172.0958395741695
2022-03-23 05:00:00,436,3,23,2,5,4.5805964,23.702087,212.0,229.0,445.0,510.0,430.90403121839165,994.4620048516135,2109.1881895667793,2953.208172408236
2022-03-23 06:00:00,1460,3,23,2,6,2.9316232,17.162815,436.0,212.0,1452.0,1373.0,945.4520156091958,1127.4728606082954,2009.3130834795825,2833.751518615577
2022-03-23 07:00:00,3450,3,23,2,7,2.6523073,16.702553,1460.0,436.0,3323.0,2840.0,2197.726007804598,1791.0520432916396,2230.9572244827236,2883.051397126331
2022-03-23 08:00:00,4655,3,23,2,8,2.3881094,16.731821,3450.0,1460.0,4606.0,4401.0,3426.363003902299,2609.3228880654574,2603.8868822546124,3024.8072853562244
2022-03-23 09:00:00,4929,3,23,2,9,2.2586548,16.948935,4655.0,3450.0,4772.0,4322.0,4177.68150195115,3272.0877771896126,2961.59659267698,3177.142702527726
2022-03-23 10:00:00,5045,3,23,2,10,2.3106284,17.209791,4929.0,4655.0,4827.0,4285.0,4611.340750975574,3778.634126564009,3282.120193803599,3326.571286325508
2022-03-23 11:00:00,5287,3,23,2,11,2.2731946,17.359564,5045.0,4929.0,4944.0,4438.0,4949.170375487787,4209.595804688578,3590.5632409107375,3483.4055834194673
2022-03-23 12:00:00,5423,3,23,2,12,2.3340383,17.444136,5287.0,5045.0,5287.0,4668.0,5186.085187743894,4556.282717634699,3872.4765884629314,3638.5731367459102
2022-03-23 13:00:00,5505,3,23,2,13,2.4709828,17.666765,5423.0,5287.0,5266.0,4759.0,5345.542593871947,4827.3447983105,4123.634036391712,3787.8872858062373
2022-03-23 14:00:00,6103,3,23,2,14,2.4712534,17.711115,5505.0,5423.0,5608.0,5128.0,5724.271296935974,5191.817713078929,4428.151876946833,3973.0963029417385
2022-03-23 15:00:00,6156,3,23,2,15,2.5289538,17.723326,6103.0,5505.0,5731.0,5112.0,5940.135648467987,5467.298366484949,4693.974665108859,4147.728598706399
2022-03-23 16:00:00,6798,3,23,2,16,2.3037305,18.20266,6156.0,6103.0,5848.0,5115.0,6369.067824233994,5847.4988332035355,5017.670870476727,4359.750310809887
2022-03-23 17:00:00,7277,3,23,2,17,2.2620625,18.004513,6798.0,6156.0,6667.0,5722.0,6823.033912116996,6255.927738002525,5365.259967326462,4593.130285945096
2022-03-23 18:00:00,8463,3,23,2,18,2.165966,17.192526,7277.0,6798.0,7274.0,6050.0,7643.016956058498,6886.519812858947,5841.835356968545,4902.719863069488
2022-03-23 19:00:00,6771,3,23,2,19,2.3569517,17.121843,8463.0,7277.0,6297.0,5062.0,7207.008478029249,6853.514152042105,5984.783763588769,5052.1822740239295
2022-03-23 20:00:00,6227,3,23,2,20,2.3768716,16.661722,6771.0,8463.0,5513.0,4218.0,6717.0042390146245,6674.510108601504,6022.047799959728,5146.167692102015
2022-03-23 21:00:00,5368,3,23,2,21,2.5831652,17.14633,6227.0,6771.0,5298.0,3897.0,6042.502119507312,6301.221506143931,5921.425061504385,5163.9142767338535
2022-03-23 22:00:00,4785,3,23,2,22,2.697582,17.303684,5368.0,6227.0,4340.0,2995.0,5413.751059753657,5868.015361531378,5746.590436657556,5133.601134595146
2022-03-23 23:00:00,3002,3,23,2,23,2.8798068,17.61865,4785.0,5368.0,2912.0,1748.0,4207.875529876828,5049.15382966527,5324.345754094855,4963.073043827534
